Course Code,SIS Student ID,Attendance,Class Date
MGT  4312 01 in OFFF/ONLIN,84335,present,2024-02-08
GEO  1301 05 in 10/007,119805,present,2024-02-08
GEO  1301 05 in 10/007,103084,present,2024-02-08
GEO  1301 05 in 10/007,143970,present,2024-02-08
GEO  1301 05 in 10/007,123338,present,2024-02-08
GEO  1301 05 in 10/007,149515,present,2024-02-08
GEO  1301 05 in 10/007,143527,present,2024-02-08
GEO  1301 05 in 10/007,94402,present,2024-02-08
GEO  1301 05 in 10/007,120231,absent,2024-02-08
GEO  1301 05 in 10/007,112882,present,2024-02-08
GEO  1301 05 in 10/007,147742,present,2024-02-08
GEO  1301 05 in 10/007,110280,absent,2024-02-08
GEO  1301 05 in 10/007,100893,absent,2024-02-08
MGT  4303 01 in 09/104,84403,present,2024-02-08
GEO  1301 05 in 10/007,118414,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,89025,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,88404,present,2024-02-08
MGT  4312 01 in OFFF/ONLIN,87995,present,2024-02-08
FIN  3303 03 in 07/003,79499,absent,2024-02-08
FIN  3303 03 in 07/003,117216,present,2024-02-08
FIN  3303 03 in 07/003,104121,present,2024-02-08
FIN  3303 03 in 07/003,115483,present,2024-02-08
FIN  3303 03 in 07/003,123168,present,2024-02-08
FIN  3303 03 in 07/003,106386,present,2024-02-08
FIN  3303 03 in 07/003,106562,present,2024-02-08
FIN  3303 03 in 07/003,113434,present,2024-02-08
FIN  3303 03 in 07/003,103513,present,2024-02-08
FIN  3303 03 in 07/003,139584,present,2024-02-08
FIN  3303 03 in 07/003,117380,present,2024-02-08
FIN  3303 03 in 07/003,120668,present,2024-02-08
FIN  3303 03 in 07/003,119757,present,2024-02-08
FIN  3303 03 in 07/003,106657,present,2024-02-08
FIN  3303 03 in 07/003,85127,present,2024-02-08
FIN  3303 03 in 07/003,100542,present,2024-02-08
FIN  3303 03 in 07/003,104145,present,2024-02-08
FIN  3303 03 in 07/003,85479,present,2024-02-08
FIN  3303 03 in 07/003,135811,present,2024-02-08
FIN  3303 03 in 07/003,113660,present,2024-02-08
FIN  3303 03 in 07/003,99660,present,2024-02-08
FIN  3303 03 in 07/003,105448,present,2024-02-08
FIN  3303 03 in 07/003,86371,present,2024-02-08
FIN  3303 03 in 07/003,112946,present,2024-02-08
FIN  3303 03 in 07/003,99506,present,2024-02-08
FIN  3303 03 in 07/003,83735,absent,2024-02-08
FIN  3303 03 in 07/003,116754,present,2024-02-08
FIN  3303 03 in 07/003,136475,present,2024-02-08
FIN  3303 03 in 07/003,117332,absent,2024-02-08
PHI  2301 02 in 04/003,142792,absent,2024-02-08
PHI  2301 02 in 04/003,98325,absent,2024-02-08
PHI  2301 02 in 04/003,117307,absent,2024-02-08
PHI  2301 02 in 04/003,143627,absent,2024-02-08
PHI  2301 02 in 04/003,139813,present,2024-02-08
PHI  2301 02 in 04/003,142455,present,2024-02-08
PHI  2301 02 in 04/003,84594,present,2024-02-08
PHI  2301 02 in 04/003,101116,present,2024-02-08
